experiment_name,best_epoch,val_macro_f1,val_accuracy,val_loss,train_loss,f1_cloudy,f1_rainy,f1_snowy,f1_sunny,total_epochs
exp_025,43,0.9106,0.9056,1.7189,0.0020,0.889,0.8937,0.9437,0.9158,50
exp_027,19,0.9097,0.9047,0.7960,0.5582,0.892,0.895,0.940,0.912,29
exp_029,9,0.9075,0.9028,0.3997,0.4440,0.886,0.895,0.936,0.913,19
exp_023,8,0.9045,0.9047,0.30963997220228434,0.19120226688046835,0.8922,0.8775,0.9301,0.9183,18
exp_028,5,0.9035,0.9002,0.2885,0.3528,0.889,0.881,0.935,0.909,12
exp_022,9,0.9024,0.903,0.3132737604469854,0.1746071595239119,0.8947,0.8746,0.9265,0.9139,18
exp_021,9,0.9016,0.9016,0.3260347327564509,0.1749267118861033,0.8932,0.877,0.9251,0.9113,19
exp_026,8,0.9,0.9016,0.41749265052704004,0.168681851452114,0.888,0.8691,0.9249,0.918,23
exp_020,23,0.8968,0.899,0.6249658741168121,0.8367047232820054,0.8874,0.8631,0.9219,0.9148,33
exp_019,23,0.8912,0.8957,0.6341842435189148,0.6145979672557047,0.8851,0.8582,0.9093,0.9121,23
